Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
247,",,",Cabbage,"1,826","1,529","1,455","1,466","1,455","1,436","1,512","1,436","1,489","1,489",2655,1988,1645
248,",,",Oal kopy,"2,125","1,685","1,742","1,765","1,656","1,506","1,636","1,506","1,733","1,733",2308,2010,1784
249,",,",Carrot,"2,776","2,189","2,045","2,039","2,045","2,777","3,399","2,777","2,499","2,499",3535,3826,2701
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
250,",,",Green Banana,415,377,425,422,408,387,494,378,411,390,422,404,411
251,",,",Radish,"1,353","1,350","1,362","1,299","1,362","1,323","1,583","1,323","1,260","1,260",1360,2141,1340
252,Bibidh:,Sugar-Local,"5,796","5,851","5,914","5,841","5,911","5,808","5,738","5,817","5,759","5,756",5815,5838,5820
253,,Sugar-foreign,"5,840","5,822","5,915","5,934","5,918","5,728","5,575","5,741","5,775","5,767",-,5820,5803
254,Gur,Sugarcane,"7,080","7,417","7,417","7,349","7,412","6,779","6,877","6,796","6,750","6,738",6796,6820,7019
255,,Dates,"9,249","9,125","9,154","9,079","9,154","8,886","8,044","8,989","9,207","9,207",8956,8856,8992
256,Salt,With Iodine,"2,602","2,598","2,589","2,585","2,589","2,575","2,548","2,575","2,574","2,574",2575,2546,2578
257,",,",loose,"1,537","1,516","1,513","1,509","1,516","1,526","1,488","1,526","1,532","1,499",1526,1489,1515
258,Vushi,Mashur,"2,776","2,899","2,922","2,795","2,922","2,897","2,849","2,897","2,784","2,784",2879,2892,2859
259,",,",Chola,"3,578","3,528","3,541","3,612","3,541","3,681","3,390","3,681","3,685","3,685",3681,3697,3608
260,",,",Kheshari,"3,262","3,230","3,271","3,283","3,267","3,282","3,414","3,282","3,316","3,292",3303,3301,3292
261,",,",Wheat,"2,904","2,906","2,925","2,918","2,925","2,905","3,031","2,922","2,915","2,919",2918,2927,2926
262,",,",Rice kura,"1,241","1,235","1,247","1,246","1,247","1,254","1,198","1,254","1,242","1,252",1245,1266,1244
263,",,",Lakri cherai Mango,539,538,527,532,534,527,550,535,529,538,535,559,537
