District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M.Tons),None_7,None_8
Chattogram Division,None,1039.06,1501.43,1507.12,2345.63,2380.44,2344.32,480.71,483.52,489.60,,2863.96,2833.92
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
20,Gazipur,27.30,20.00,11.00,1.24,1.24,1.24,6.76,7.76,8.76,,9.00,10.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
30,Tangail,135.39,98.00,42.43,6.07,13.39,13.39,1.22,1.00,1.00,,14.39,14.39
Dhaka Division,None,162.70,118.00,53.43,7.31,14.63,14.63,7.98,8.76,9.76,,23.39,24.39
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
32,Chuadanga,59.44,48.00,31.62,12.33,76.03,164.65,15.07,4.56,12.73,,80.59,177.38
33,Jashore,0.00,0.00,95.82,0.00,0.00,6.76,0.00,0.00,8.22,,0.00,14.98
34,Jhenaidah,224.14,178.59,178.59,57.90,136.67,181.40,4.10,19.33,20.74,,156.00,202.14
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
37,Magura,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,21.37,,0.00,21.37
38,Meherpur,0.00,8.10,10.64,0.00,10.00,17.03,0.00,0.00,0.01,,10.00,17.04
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
Khulna Division,None,283.58,234.69,321.37,70.23,222.70,369.84,19.17,23.89,63.07,,246.59,432.91
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
43,Netrokona,1.05,2.00,2.00,0.76,0.78,0.81,0.24,0.22,0.19,,1.00,1.00
44,Sherpur,10.80,13.00,14.00,0.00,14.22,16.99,0.00,0.78,0.01,,15.00,17.00
Mymensingh Division,None,11.85,15.00,16.00,0.76,15.00,17.80,0.24,1.00,0.20,,16.00,18.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
47,Naogaon,1.28,4.41,15.00,0.00,4.16,17.00,0.47,0.00,0.00,,4.16,17.00
48,Natore,0.00,18.02,3.00,0.00,6.36,8.00,0.00,0.00,0.00,,6.36,8.00
49,Chapai Nawabganj,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
51,Rajshahi,16.32,6.00,6.00,18.48,27.93,32.13,0.52,0.07,0.87,,28.00,33.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
Rajshahi Division,None,17.60,28.43,25.00,18.48,38.45,57.13,0.99,0.07,0.87,,38.52,58.00
53,Dinajpur,0.00,3.00,15.00,0.00,6.89,24.24,0.00,0.11,0.76,,7.00,25.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
56,Lalmonirhat,2.77,1.02,1.05,6.79,6.82,6.75,1.07,0.00,1.09,,6.82,7.84
57,Nilphamari,8.52,4.08,4.48,1.62,1.55,1.46,10.07,10.45,10.23,,12.00,11.69
58,Panchagar,103.56,72.68,53.00,46.62,48.96,60.94,15.81,17.68,27.06,,66.64,88.00
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
60,Thakurgaon,36.41,16.32,16.37,9.46,29.17,29.49,4.60,8.81,8.89,,37.98,38.38
Rangpur Divison,None,151.26,97.10,89.90,64.49,93.39,122.88,31.55,37.05,48.03,,130.44,170.91
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
62,Moulvibazar,397.66,233.42,232.80,154.47,156.43,125.33,131.53,131.96,107.38,,288.39,232.71
63,Sunamganj,1.36,2.00,2.00,0.00,0.00,0.00,2.00,2.00,2.00,,2.00,2.00
64,Sylhet,123.08,209.38,188.00,46.83,4.48,37.60,168.31,2.66,143.40,,7.14,181.00
Sylhet Division,None,522.10,444.80,422.80,201.30,160.91,162.93,301.84,136.62,252.78,,297.53,415.71
BANGLADESH,None,2188.14,2439.45,2435.62,2708.20,2925.52,3089.53,842.48,690.91,864.31,,3616.43,3953.84
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
1,Barguna,915,890.02,1311.00,60.34,46.70,50.86,224.66,248.30,196.37,,295.00,247.23
2,Barishal,1437,850.04,934.00,4.77,0.00,0.00,1224.23,799.00,902.27,,799.00,902.27
3,Bhola,249.83,200.33,193.00,3.90,2.79,0.00,546.50,322.31,430.42,,325.10,325.10
4,Jhallokati,1621,1620.20,644.00,43.20,43.31,45.60,339.80,364.69,380.12,,408.00,425.72
5,Patuakhali,618,560.00,231.00,0,0.00,0.00,284,329.00,319.31,,329.00,319.31
6,Pirojpur,167.47,148.07,127.00,21.96,28.20,27.00,485.46,473.58,461.13,,501.78,488.13
Barishal Division,None,5008.3,4268.66,3440.00,134.17,121.00,123.46,3104.65,2536.88,2689.62,,2657.88,2813.08
7,Bandarban,3727,3730.22,727.29,306.17,162.72,162.72,157.83,303.36,158.39,,466.08,321.11
8,Brahmanbaria,207,208.91,182.29,0,0.00,0.00,1469,1460.63,1807.35,,1460.63,1807.35
9,Chandpur,60,70.43,53.05,35.26,59.60,66.80,337.74,687.46,700.41,,747.06,767.21
10,Chattogram,610.90,787.31,1666.39,5381.06,2888.91,6.45,678.06,1639.85,2.34,,4528.76,8.79
11,Cumilla,1584,1568.26,606.85,543.31,541.13,581.64,1579.69,1582.27,1592.98,,2123.40,2174.62
12,Cox’s Bazar,647,690.22,322.25,265.64,247.12,361.74,689.36,682.77,947.75,,929.89,1309.49
13,Feni,75,78.23,754.60,23.95,3.35,378.51,127.05,147.53,574.58,,150.88,953.09
14,Khagrachari,707,715.28,76.40,349.65,396.85,4.57,550.35,605.92,223.92,,1002.77,228.49
15,Lakshmipur,75,93.05,108.63,0,0.00,0.00,491,739.81,693.03,,739.81,693.03
16,Noakhali,109,124.57,109.06,0,0.00,0.00,603,475.23,451.09,,475.23,451.09
17,Rangamati,1566,1466.10,789.01,2338.40,2202.30,2226.94,1596.60,1452.86,1457.56,,3655.16,3684.50
Chattogram Division,None,9367.90,9532.58,4668.53,9243.44,6501.98,3789.37,8279.68,9777.69,8609.40,,16279.67,12398.77
18,Dhaka,359.54,332.98,489.81,4410.94,3722.07,5671.00,4843.06,2996.25,4846.18,,6718.32,"10517.1
8"
19,Faridpur,129,111.00,160.00,43.21,96.32,117.37,239.97,223.55,319.85,,319.87,437.22
20,Gazipur,228,238.00,312.50,184.84,448.36,472.05,363.16,885.92,557.65,,1334.28,1029.70
21,Gopalganj,1103.42,1126.89,184.23,0,0.00,708.27,502.80,1057.06,424.72,,1057.06,1132.99
22,Kishoreganj,138.69,120.95,105.00,21.26,59.44,24.82,928.94,1590.60,771.24,,1650.04,796.06
23,Madaripur,37,39.43,26.12,10.03,24.95,12.76,296.97,431.43,229.72,,456.38,242.48
24,Manikganj,276,334.49,221.81,951,1750.53,756.17,497,989.62,597.24,,2740.15,1353.41
25,Munshiganj,52.76,51.95,66.13,0,0.00,91.67,121.75,249.60,216.15,,249.60,307.82
26,Narayanganj,305.78,3315.00,83.42,36.56,64.29,49.28,154.96,335.53,1046.42,,399.82,1095.69
27,Narsingdi,366.71,369.47,279.39,2113.17,3511.00,900.60,435.09,1135.55,808.42,,4646.55,1709.02
28,Rajbari,192.23,173.00,344.00,182.65,37.31,922.10,424.35,1199.69,1625.80,,1237.00,2547.89
29,Shariatpur,148.35,151.27,47.34,37.67,94.43,14.33,461.17,420.01,281.81,,514.44,296.14
30,Tangail,405.35,509.27,341.18,476.40,1578.08,681.60,1219.72,2750.88,1971.72,,4328.96,2653.32
Dhaka Division,None,3742.83,6873.70,2660.93,8467.73,11386.78,10422.01,10488.94,14265.69,13696.89,,25652.47,24118.91
31,Bagerhat,110.19,159.51,157.07,56.50,73.93,73.67,524.26,567.33,567.33,,641.26,641.00
32,Chuadanga,35.37,41.30,43.08,75.16,186.13,84.23,114.62,17.73,17.73,,203.86,101.96
33,Jashore,705.93,807.77,373.99,397.56,462.85,450.03,540.41,605.05,605.05,,1067.90,1055.08
34,Jhenaidah,147.01,153.35,164.09,29.33,44.34,47.14,654.90,656.16,656.16,,700.50,703.30
35,Khulna,292.73,293.79,293.80,44.52,44.35,44.62,539.98,540.69,545.10,,585.04,589.72
36,Kushtia,195,195.00,234.00,496.76,522.20,852.74,1265.24,1271.80,2149.50,,1794.00,3002.24
37,Magura,121.37,122.47,124.71,135.33,137.96,136.36,1121.37,1161.51,1164.48,,1299.47,1300.84
38,Meherpur,171.09,169.78,168.68,482.19,480.00,506.06,411.71,434.28,455.50,,914.28,961.57
39,Narail,424,429.57,430.41,57,61.24,60.64,947.40,966.46,951.24,,1027.70,1011.87
40,Satkhira,483.97,192.85,193.82,203.63,205.01,210.14,211.79,215.11,301.47,,420.12,511.61
Khulna Division,None,2686.66,2565.39,2183.65,1977.98,2218.01,2465.63,6331.68,6436.12,7413.55,,8654.13,9879.18
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
41,Jamalpur,278,283.00,187.00,3.85,47.03,30.44,171.15,655.97,427.42,,703.00,457.85
42,Mymensingh,2137,2047.00,2137.00,1062.34,1181.59,1457.63,4082.66,3913.41,4645.65,,5095.00,6103.28
43,Netrokona,137,235.00,245.00,0,89.10,92.22,1359,1712.90,1710.59,,1802.00,1802.81
44,Sherpur,61,116.00,148.00,20.85,128.03,140.40,105.15,266.97,301.61,,395.00,442.01
Mymensingh Division,None,2613,2681.00,2717.00,1087.04,1445.75,1720.69,5717.96,6549.25,7085.27,,7995.00,8805.96
45,Bogura,110,115.06,119.00,0,16.42,0.00,380,318.14,370.93,,334.56,370.93
46,Joypurhat,50,57.47,48.00,26.64,24.39,15.44,171.36,180.88,187.31,,205.27,202.75
47,Naogaon,204,179.48,222.00,111.12,287.20,191.07,480.88,441.64,810.99,,728.84,1002.06
48,Natore,647,913.42,921.00,13648.64,"17856.8
2","15461.1
6",2379.36,250.67,4303.88,,"18107.4
9","19765.0
4"
49,Chapai Nawabganj,323,326.31,339.00,443.27,966.92,474.39,507.73,615.21,572.43,,1582.13,1046.82
50,Pabna,238,247.93,251.00,389.07,258.88,581.93,1186.93,1529.77,1482.83,,1788.65,2064.75
51,Rajshahi,392,393.39,383.00,263.54,1506.12,276.40,872.46,401.15,838.99,,1907.27,1115.39
52,Sirajganj,723,750.01,100.00,10.37,32.00,16.56,480.63,477.16,584.64,,509.16,601.20
Rajshahi Division,None,2687,2983.07,2383.00,14892.65,20948.75,17016.96,6459.35,4214.62,9151.99,,25163.37,26168.95
53,Dinajpur,248,209.05,254.28,125.12,289.06,172.54,661.88,593.88,865.01,,882.94,1037.55
54,Gaibandha,129.10,160.62,157.51,0,0.00,0.00,482.90,561.11,412.21,,561.11,412.21
55,Kurigram,178.96,176.87,78.30,24.39,79.75,28.31,162.77,119.16,196.02,,198.91,224.33
56,Lalmonirhat,80.7,81.59,81.77,41.1,386.08,42.69,240.25,99.41,257.32,,485.49,300.01
57,Nilphamari,50.77,52.25,53.01,0,6.20,2.05,305.25,307.55,324.82,,313.75,326.87
58,Panchagar,195.63,202.71,203.73,47.20,192.92,48.55,411.60,206.29,458.98,,399.21,507.53
59,Rangpur,124.98,126.06,141.46,50.60,204.84,60.86,322.78,204.96,415.00,,409.80,475.86
60,Thakurgaon,1123.35,1126.20,126.67,91.84,219.82,96.51,240.66,130.32,268.02,,350.14,364.53
Rangpur Divison,None,2131.49,2135.35,1096.73,380.25,1378.67,451.51,2828.09,2222.68,3197.39,,3601.35,3648.90
61,Habiganj,217.72,213.34,212.32,520.49,371.82,577.81,1541.85,720.18,1826.21,,1092.00,2404.02
62,Moulvibazar,1347.67,1350.98,720.10,8393.39,5052.82,9371.52,4176.21,1894.18,3652.19,,6947.00,"13023.7
1"
63,Sunamganj,190.19,195.50,189.00,0,0.00,0.00,982.85,989.00,1127.60,,989.00,1127.60
64,Sylhet,255.46,288.00,296.00,184.10,166.44,218.41,219.39,732.56,1004.34,,899.00,1222.75
Sylhet Division,None,2011.04,2047.82,1417.42,9097.98,5591.08,10167.73,6920.30,4335.92,7610.34,,9927.00,17778.07
BANGLADESH,None,30248.22,33087.57,20567.26,45281.24,49592.02,46157.36,50130.65,50338.85,59454.46,,99930.87,106568.53
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
1,Barguna,344,196.36,399.00,0,0.00,0.00,199,189.00,189.00,,189.00,189.00
2,Barishal,404,448.00,460.00,0,0.00,0.00,1583,1629.00,1629.00,,1629.00,1629.00
3,Bhola,275.94,99.56,100.00,0,0.00,0.00,471.10,546.40,546.40,,546.40,546.40
4,Jhallokati,339,344.00,351.00,0,0.00,0.00,1430,1349.00,1349.00,,1349.00,1349.00
5,Patuakhali,116.30,66.26,69.00,0,0.00,0.00,229,412.60,412.60,,412.60,412.60
6,Pirojpur,341.99,189.89,243.00,0,0.00,0.00,835.22,723.00,723.00,,723.00,723.00
Barishal Division,None,1821.23,1344.07,1622.00,0,0.00,0.00,4747.32,4849.00,4849.00,,4849.00,4849.00
7,Bandarban,991,991.10,991.10,550.89,555.57,556.93,309.11,310.69,311.12,,866.26,868.05
8,Brahmanbaria,180,183.15,166.62,320.37,318.86,309.10,897.63,892.78,881.03,,1211.64,1190.13
9,Chandpur,43,33.22,56.78,0,0.00,0.00,315,322.78,319.11,,322.78,319.11
10,Chattogram,548,239.16,244.73,1230.69,281.02,0.31,4562.31,967.98,2.33,,1249.00,2.63
11,Cumilla,295,295.40,301.26,206.12,204.22,201.80,1834.88,1837.19,1926.83,,2041.41,2128.63
12,Cox’s Bazar,163,163.29,144.99,614.95,620.59,626.49,1683.05,1676.34,1686.25,,2296.93,2312.74
13,Feni,62,62.43,531.71,5.65,6.78,336.28,154.35,153.72,655.57,,160.50,991.85
14,Khagrachari,515,522.86,63.65,345.47,501.28,10.29,649.53,421.84,276.71,,923.12,287.00
15,Lakshmipur,478,69.42,87.27,0,0.00,0.00,573,581.23,670.13,,581.23,670.13
16,Noakhali,48,50.42,51.82,0,0.00,0.00,329,402.35,411.13,,402.35,411.13
17,Rangamati,371,409.43,458.46,381.82,363.56,345.71,2345.18,2206.97,2087.12,,2570.53,2432.83
Chattogram Division,None,3694,3019.88,3098.39,3655.96,2851.88,2386.89,13653.04,9773.87,9227.33,,12625.75,11614.22
18,Dhaka,75,61.45,32.27,0,0.00,0.00,1267,961.70,326.65,,961.70,326.65
19,Faridpur,118,177.00,118.00,0,0.00,0.00,718,692.83,703.29,,692.83,703.29
20,Gazipur,202,213.00,219.00,194.12,192.60,198.17,680.58,699.70,734.15,,892.30,932.32
21,Gopalganj,65.86,66.79,68.30,0,0.00,0.00,711.30,744.94,701.03,,744.94,701.03
22,Kishoreganj,151,129.15,144.38,127.25,0.00,6.03,1475.75,996.00,1529.07,,996.00,1535.10
23,Madaripur,68,68.48,68.24,0,0.00,0.00,526,520.47,479.39,,520.47,479.39
24,Manikganj,107,109.20,115.60,0,0.00,2.39,721,459.68,461.57,,459.68,463.96
25,Munshiganj,25.81,25.90,25.85,0,0.00,0.00,161.95,197.70,201.96,,197.70,201.96
26,Narayanganj,13.11,11.94,11.27,19.9,1.36,1.37,91.46,32.62,88.99,,33.98,90.35
27,Narsingdi,81.88,102.27,101.60,0,0.00,0.00,902.95,846.16,832.42,,846.16,832.42
28,Rajbari,375,396.00,304.91,94.96,68.94,81.14,1232.04,918.27,1243.24,,987.21,1324.39
29,Shariatpur,129.15,129.15,144.45,0,0.00,0.00,996,996.00,1045.44,,996.00,1045.44
30,Tangail,157,159.98,164.51,229.50,268.47,254.47,1898.20,1763.43,1687.19,,2031.90,1941.65
Dhaka Division,None,1568.81,1650.31,1518.38,665.73,531.37,254.47,11382.23,9829.50,10034.38,,10360.87,10288.85
31,Bagerhat,107.99,109.55,109.10,0,0.00,0.00,681.12,894.07,904.87,,894.07,904.87
32,Chuadanga,51.23,50.57,41.47,58.64,58.50,0.00,157.49,156.70,353.65,,215.20,353.65
33,Jashore,394.72,410.83,399.04,0,0.00,0.00,2382.30,2494.40,2690.63,,2494.40,2690.63
34,Jhenaidah,126.36,126.49,128.87,0,0.00,0.00,1503.40,1530.40,1543.05,,1530.40,1543.05
35,Khulna,222.61,234.30,218.65,0,0.00,0.00,1110.20,1216.10,1111.02,,1216.10,1111.02
36,Kushtia,93,94.00,250.00,405.37,447.99,0.00,1376.63,1403.01,1542.68,,1851.00,1542.68
37,Magura,104,89.20,87.89,0,0.00,0.00,1088.20,1073.60,1118.25,,1073.60,1118.25
38,Meherpur,116.57,117.57,118.76,0,0.00,0.00,703.51,742.83,758.12,,742.83,758.12
39,Narail,228,228.80,230.36,0,0.00,0.00,1319,1327.60,1345.54,,1327.60,1345.54
40,Satkhira,201.31,207.42,198.39,0,0.00,0.00,646.21,659.54,704.33,,659.54,704.33
Khulna Division,None,1645.79,1668.73,1782.53,464.01,506.49,0.00,10968.06,11498.25,12072.13,,12004.74,12072.13
41,Jamalpur,188,169.00,198.00,14.9,14.98,14.99,1181.10,1245.02,1247.42,,1260.00,1262.40
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
42,Mymensingh,1206,1199.00,1183.00,172.45,201.33,193.99,3217.55,3327.67,3269.42,,3529.00,3463.41
43,Netrokona,245,249.00,257.00,0,0.00,0.00,1589,1592.00,2792.72,,1592.00,2792.72
44,Sherpur,115,116.00,117.00,0,0.00,0.00,542,536.00,539.43,,536.00,539.43
Mymensingh Division,None,1754,1733.00,1755.00,187.35,216.31,208.97,6529.65,6700.69,7849.00,,6917.00,8057.97
45,Bogura,203,204.39,199.00,0,0.00,0.00,2530,2836.62,2398.28,,2836.62,2398.28
46,Joypurhat,26,27.74,28.00,0,0.00,0.00,225,190.72,208.63,,190.72,208.63
47,Naogaon,266,179.47,192.00,34.93,37.64,22.21,615.07,984.36,1237.80,,1022.00,1260.02
48,Natore,236,258.70,261.00,14.19,0.00,0.00,1993.81,1897.04,1870.08,,1897.04,1870.08
49,Chapai Nawabganj,120,124.00,128.00,0,0.00,0.00,413,436.00,365.71,,436.00,365.71
50,Pabna,67,77.99,82.00,72.07,75.20,80.78,561.93,584.69,615.13,,659.89,695.91
51,Rajshahi,257,242.85,244.00,255.21,0.00,0.00,1099.79,1206.21,1336.29,,1206.21,1336.29
52,Sirajganj,47,48.14,48.00,0,0.00,0.00,710,777.22,781.58,,777.22,781.58
Rajshahi Division,None,1222,1163.28,1182.00,376.40,112.84,103.00,8148.6,8912.86,8813.50,,9025.70,8916.50
53,Dinajpur,137,137.95,144.89,32.35,32.96,32.35,1120.65,1180.79,1181.20,,1213.75,1213.54
54,Gaibandha,82.34,73.67,73.23,0,0.00,0.00,264.42,437.84,444.28,,437.84,444.28
55,Kurigram,51.18,53.83,51.00,0,0.00,0.00,402.32,415.70,420.29,,415.70,420.29
56,Lalmonirhat,182.51,203.66,204.43,0,0.00,0.00,653.81,575.04,581.31,,575.04,581.31
57,Nilphamari,97.03,96.87,104.48,20.52,11.90,10.88,1536.45,1383.26,1270.18,,1395.16,1281.05
58,Panchagar,184.51,189.73,189.54,148.16,144.96,132.64,1361.84,1399.38,1508.22,,1544.34,1640.86
59,Rangpur,115,115.73,114.64,0,0.00,0.00,1313.60,1324.31,1363.99,,1324.31,1363.99
60,Thakurgaon,106.13,106.34,106.04,96.84,98.71,95.22,463.48,474.61,460.39,,573.32,555.61
Rangpur Divison,None,955.70,977.78,988.25,297.87,288.53,271.09,7116.57,7190.93,7229.85,,7479.46,7500.94
61,Habiganj,377.41,367.68,375.00,0,0.00,0.00,834.09,1354.97,1283.04,,1354.97,1283.04
62,Moulvibazar,215.18,159.34,160.54,824.89,826.60,863.46,2000.51,1907.59,1878.60,,2734.19,2742.06
63,Sunamganj,118,119.00,118.00,0,0.00,0.00,3299,3320.00,2810.00,,3320.00,2810.00
64,Sylhet,610,597.00,189.00,229.12,231.88,218.11,984.23,881.72,792.61,,1113.60,1010.72
Sylhet Division,None,1320.59,1243.02,842.54,1054.01,1058.48,1081.57,7117.83,7464.28,6764.25,,8522.76,7845.81
BANGLADESH,None,13982.12,12800.07,12789.09,6701.33,5565.90,4305.98,69663.30,66219.38,66996.77,,71785.28,71302.75
